id,name,slug,small_logo_thumb_url,website,all_locations,long_description,one_liner,team_size,industry,subindustry,launched_at,tags/0,tags/1,top_company,isHiring,nonprofit,batch,status,industries/0,industries/1,regions/0,regions/1,stage,app_video_public,demo_day_video_public,app_answers,question_answers,objectID,_highlightResult/name/value,_highlightResult/name/matchLevel,_highlightResult/website/value,_highlightResult/website/matchLevel,_highlightResult/all_locations/value,_highlightResult/all_locations/matchLevel,_highlightResult/long_description/value,_highlightResult/long_description/matchLevel,_highlightResult/one_liner/value,_highlightResult/one_liner/matchLevel,_highlightResult/tags/0/value,_highlightResult/tags/0/matchLevel,_highlightResult/tags/1/value,_highlightResult/tags/1/matchLevel,former_names/0,_highlightResult/former_names/0/value,_highlightResult/former_names/0/matchLevel,tags/2,tags/3,regions/2,regions/3,_highlightResult/tags/2/value,_highlightResult/tags/2/matchLevel,_highlightResult/tags/3/value,_highlightResult/tags/3/matchLevel,tags/4,_highlightResult/tags/4/value,_highlightResult/tags/4/matchLevel,former_names/1,_highlightResult/former_names/1/value,_highlightResult/former_names/1/matchLevel,tags_highlighted/0,former_names/2,_highlightResult/former_names/2/value,_highlightResult/former_names/2/matchLevel
30848,Parrot,parrot,https://bookface-images.s3.amazonaws.com/small_logos/f00f4b531cfdb83446f322df9e4f749afb8b0179.png,https://parrotapp.com/,"San Francisco, CA, USA","Parrot is the TikTok for language learning. We turn doomscrolling into fluency with personalized short-form video lessons backed by Dr. Stephen Krashen’s comprehensible input theory. Growing 20%% w/w, and power users averaging 35+ mins/day on Parrot. Our team of engineers have lived the frustration of ineffective apps and learning methods - we’re building the first language platform that actually works.",TikTok for language learning,5,Consumer,Consumer,1758577465,AI-Enhanced Learning,Education,false,false,false,Fall 2025,Active,Consumer,,United States of America,America / Canada,Early,false,false,,false,30848,Parrot,none,https://parrotapp.com/,none,"San Francisco, CA, USA",none,"Parrot is the TikTok for language learning. We turn doomscrolling into fluency with personalized short-form video lessons backed by Dr. Stephen Krashen’s comprehensible input theory. Growing 20%% w/w, and power users averaging 35+ mins/day on Parrot. Our team of engineers have lived the frustration of ineffective apps and learning methods - we’re building the first language platform that actually works.",none,TikTok for language learning,none,AI-Enhanced Learning,none,Education,none,Parrot takes down Duolingo,Parrot takes down Duolingo,none,,,,,,,,,,,,,,,,,,
30846,Parse,parse-bot,https://bookface-images.s3.amazonaws.com/small_logos/fd2b15ce8a8e404c0ec54c33a17f938963c26455.png,https://parse.bot,,"Parse lets developers build APIs for any website in seconds at fractions of a cent per call. Unlike traditional scraping tools that rely on slow, expensive headless browsers, Parse reverse-engineers websites' underlying network requests and generates optimized API endpoints automatically. This makes Parse 10-100x faster and significantly cheaper than browser automation, enabling use cases like real-time price monitoring, lead generation, and data integration that were previously impractical.",Build an API to interact with any website in seconds. ,2,B2B,B2B,1761590739,Developer Tools,API,false,false,false,Fall 2025,Active,B2B,,Unspecified,,Early,false,false,,false,30846,Parse,none,https://parse.bot,none,,none,"Parse lets developers build APIs for any website in seconds at fractions of a cent per call. Unlike traditional scraping tools that rely on slow, expensive headless browsers, Parse reverse-engineers websites' underlying network requests and generates optimized API endpoints automatically. This makes Parse 10-100x faster and significantly cheaper than browser automation, enabling use cases like real-time price monitoring, lead generation, and data integration that were previously impractical.",none,Build an API to interact with any website in seconds. ,none,Developer Tools,none,API,none,,,,Big Data,,,,Big Data,none,,,,,,,,,,,,
30818,Nox Metals,nox-metals,https://bookface-images.s3.amazonaws.com/small_logos/d953f614b90f897eb3f17d74909591b83860cbc1.png,https://noxmetals.co/,"Detroit, MI, USA","Nox Metals is building the fastest metals processing factories in North America. Our software runs quoting, scheduling, and operations to streamline production and reduce cost. We supply America's industrial base with custom-cut material at unmatched speed and efficiency.","The modern factory for fast, low-cost metals. ",2,Industrials,Unspecified,1751751667,,,false,true,false,Summer 2025,Active,Industrials,Manufacturing and Robotics,United States of America,America / Canada,Early,false,false,,true,30818,Nox Metals,none,https://noxmetals.co/,none,"Detroit, MI, USA",none,"Nox Metals is building the fastest metals processing factories in North America. Our software runs quoting, scheduling, and operations to streamline production and reduce cost. We supply America's industrial base with custom-cut material at unmatched speed and efficiency.",none,"The modern factory for fast, low-cost metals. ",none,,,,,,,,,,,,,,,,,,,,,,,,,
30807,Paloma,paloma,https://bookface-images.s3.amazonaws.com/small_logos/59cd4e66e87a2529fc200defa6e386523e11058a.png,https://getpaloma.ai/,"San Francisco, CA, USA","We unify your contracts, service consumption, and customer relationship context so that your revenue, success and sales teams can operate from the same ground truth. With everything centralized, you can proactively react to customer signals for upsell and churn while billing is seamlessly handled in the background.",AI-native CRM for putting post-sales operations on autopilot,3,B2B,B2B -> Sales,1754546482,Artificial Intelligence,SaaS,false,false,false,Summer 2025,Active,B2B,,United States of America,America / Canada,Early,false,false,,false,30807,Paloma,none,https://getpaloma.ai/,none,"San Francisco, CA, USA",none,"We unify your contracts, service consumption, and customer relationship context so that your revenue, success and sales teams can operate from the same ground truth. With everything centralized, you can proactively react to customer signals for upsell and churn while billing is seamlessly handled in the background.",none,AI-native CRM for putting post-sales operations on autopilot,none,Artificial Intelligence,none,SaaS,none,,,,Customer Success,Sales,,,Customer Success,none,Sales,none,Billing,Billing,none,,,,,,,
30798,Cacao,cacao,https://bookface-images.s3.amazonaws.com/small_logos/d368744b2d3baf62eb10c49a6211dd71ba08c437.png,https://www.cacaofi.com/,"São Paulo, SP, Brazil","Get paid in USD or stablecoins, spend with a Visa card, and cash out to Pix instantly - made for Brazilians earning from abroad.",The Global Dollar App for Brazil,3,Fintech,Fintech,1754882271,Fintech,Crypto / Web3,false,false,false,Summer 2025,Active,Fintech,,Brazil,Latin America,Early,false,false,,false,30798,Cacao,none,https://www.cacaofi.com/,none,"São Paulo, SP, Brazil",none,"Get paid in USD or stablecoins, spend with a Visa card, and cash out to Pix instantly - made for Brazilians earning from abroad.",none,The Global Dollar App for Brazil,none,Fintech,none,Crypto / Web3,none,,,,Payments,,Remote,Partly Remote,Payments,none,,,,,,,,,Crypto / Web3,,,
30789,Interfere,interfere,https://bookface-images.s3.amazonaws.com/small_logos/8874713141e02cb143838e685aab73861963b373.png,https://interfere.com,"New York, NY, USA",,Build software that never breaks,4,B2B,"B2B -> Engineering, Product and Design",1752094986,Artificial Intelligence,Developer Tools,false,false,false,Summer 2025,Active,B2B,"Engineering, Product and Design",United States of America,America / Canada,Early,false,false,,false,30789,Interfere,none,https://interfere.com,none,"New York, NY, USA",none,,none,Build software that never breaks,none,Artificial Intelligence,none,Developer Tools,none,Ordinary Intelligence,Ordinary Intelligence,none,Design,,,,Design,none,,,,,,,,,,,,
30786,Munify,munify,https://bookface-images.s3.amazonaws.com/small_logos/905f3adbeab084e1762af3c3a57f96b6c781d02f.png,https://munify.ai,Remote,"Munify is the cross-border Neobank for the Middle East and its diaspora. Instantly open a USD account, get a virtual card, and send money home at the best rates, all from one app.",The Cross-Border Neobank for the Middle East,4,Fintech,Fintech,1755868164,Fintech,Consumer,false,false,false,Summer 2025,Active,Fintech,,Remote,Fully Remote,Early,false,false,,false,30786,Munify,none,https://munify.ai,none,Remote,none,"Munify is the cross-border Neobank for the Middle East and its diaspora. Instantly open a USD account, get a virtual card, and send money home at the best rates, all from one app.",none,The Cross-Border Neobank for the Middle East,none,Fintech,none,Consumer,none,,,,B2B,Consumer Finance,,,B2B,none,Consumer Finance,none,Neobank,Neobank,none,,,,,,,
30781,Duranium,duranium,https://bookface-images.s3.amazonaws.com/small_logos/2a84608596d6e85a1a64227a175491ef9496eb22.png,https://www.duranium.co/,"Alameda, CA, USA","China and Russia control the world’s critical minerals. We can produce Titanium, Magnesium, Aluminum, Zirconium & Hafnium in the U.S. more profitably than any existing process, and carbon neutrally via co-production.

Carbochlorination is the primary process for producing critical metals like titanium, hafnium, and zirconium, and was once the standard for magnesium. The problem: conventional carbochlorination relies on purchasing carbon feedstocks, wastes valuable byproducts, and is highly CO₂-intensive.

Duranium changes this with a novel reactor that recycles CO₂ emissions back into feedstock (CO) while generating a valuable co-product (bleaching agents). This closed loop slashes emissions and delivers Chinese-level metal pricing without subsidies — unlocking the full potential of carbochlorination for U.S. critical mineral production.",Reshoring critical metal production,4,Industrials,Industrials -> Manufacturing and Robotics,1757191317,Manufacturing,Advanced Materials,false,true,false,Summer 2025,Active,Industrials,Manufacturing and Robotics,United States of America,America / Canada,Early,false,false,,false,30781,Duranium,none,https://www.duranium.co/,none,"Alameda, CA, USA",none,"China and Russia control the world’s critical minerals. We can produce Titanium, Magnesium, Aluminum, Zirconium & Hafnium in the U.S. more profitably than any existing process, and carbon neutrally via co-production.

Carbochlorination is the primary process for producing critical metals like titanium, hafnium, and zirconium, and was once the standard for magnesium. The problem: conventional carbochlorination relies on purchasing carbon feedstocks, wastes valuable byproducts, and is highly CO₂-intensive.

Duranium changes this with a novel reactor that recycles CO₂ emissions back into feedstock (CO) while generating a valuable co-product (bleaching agents). This closed loop slashes emissions and delivers Chinese-level metal pricing without subsidies — unlocking the full potential of carbochlorination for U.S. critical mineral production.",none,Reshoring critical metal production,none,Manufacturing,none,Advanced Materials,none,,,,ClimateTech,,,,ClimateTech,none,,,,,,,,,,,,
30761,Reacher,reacher,https://bookface-images.s3.amazonaws.com/small_logos/e18f0a8b8fff511049fe03b4ad0dc3b98bce28b5.png,https://reacherapp.com/,"San Francisco, CA, USA; Remote","Reacher is an AI-powered platform that automates creator marketing workflows—from discovery and outreach to campaign management and content strategy—making marketing teams 10x more productive. 

We handle the manual tasks so brands can focus on building relationships with creators while centralizing their operations in one platform to manage creators on TikTok Shop, Instagram, and YouTube.




",We automate creator marketing for the world's largest brands,5,B2B,B2B,1750191046,Artificial Intelligence,B2B,false,true,false,Summer 2025,Active,B2B,,United States of America,America / Canada,Early,false,false,,false,30761,Reacher,none,https://reacherapp.com/,none,"San Francisco, CA, USA; Remote",none,"Reacher is an AI-powered platform that automates creator marketing workflows—from discovery and outreach to campaign management and content strategy—making marketing teams 10x more productive. 

We handle the manual tasks so brands can focus on building relationships with creators while centralizing their operations in one platform to manage creators on TikTok Shop, Instagram, and YouTube.




",none,We automate creator marketing for the world's largest brands,none,Artificial Intelligence,none,B2B,none,,,,E-commerce,Creator Economy,Remote,Fully Remote,E-commerce,none,Creator Economy,none,,,,,,,,,,
30749,Fernstone,fernstone,https://bookface-images.s3.amazonaws.com/small_logos/2529eaf040180126a595ccd660f42824d36e2dae.png,https://www.fernstone.com,"San Francisco, CA, USA","Fernstone is an AI-powered insurance brokerage for businesses. We are competing with the 40K insurance brokers that sell $500B in commercial premium each year.

Before starting Fernstone, Luke and James met at Traba (Series A) when they started on the same day. James created and led Traba’s Enterprise function, growing it to 25% of company revenue. Luke led a Growth team, closing some of Traba’s largest customers like JB Hunt and Kimberly Clark. Bryant, James’ classmate from high school, was a Software Engineer at Sentilink and Google.
",AI-powered insurance brokerage for businesses.,3,Fintech,Unspecified,1759775643,Artificial Intelligence,Fintech,false,false,false,Fall 2025,Active,Fintech,Insurance,United States of America,America / Canada,Early,false,false,,false,30749,Fernstone,none,https://www.fernstone.com,none,"San Francisco, CA, USA",none,"Fernstone is an AI-powered insurance brokerage for businesses. We are competing with the 40K insurance brokers that sell $500B in commercial premium each year.

Before starting Fernstone, Luke and James met at Traba (Series A) when they started on the same day. James created and led Traba’s Enterprise function, growing it to 25% of company revenue. Luke led a Growth team, closing some of Traba’s largest customers like JB Hunt and Kimberly Clark. Bryant, James’ classmate from high school, was a Software Engineer at Sentilink and Google.
",none,AI-powered insurance brokerage for businesses.,none,Artificial Intelligence,none,Fintech,none,Sentri Security,Sentri Security,none,Insurance,,,,Insurance,none,,,,,,Sentri,Sentri,none,,,,
30747,Convexia,convexia,https://bookface-images.s3.amazonaws.com/small_logos/c68bf871c0fe363c6048343df283d9282ab990f4.png,https://convexia.bio,"San Francisco, CA, USA","An AI-maximalist pharma platform. We use agents to buy drugs, run clinical trials, and sell for a profit. 10x faster and 20x leaner than incumbents.

Sourcing Agent: Mines public/private databases and unstructured global data to surface overlooked preclinical candidates.
Scientific Agent: Runs comp bio models (ESM-3, RFdiffusion, Boltz-2, AlphaFold) to assess safety and efficacy in silico.
Commercial Agent: Analyzes FDA incentives, pricing dynamics, TAM, competitive landscape, and payer alignment.
Clinical Agent: Runs digital twin simulations, evaluates CRO/CMC risk, and builds trial plans to Phase 1.
BD Agent: Summarizes and delivers company-tailored pitches. 

Built by 2 Stanford CS students who have built 3 startups together before. ",The world's first AI-maximalist pharma company,2,Healthcare,Healthcare -> Drug Discovery and Delivery,1752301183,AI-powered Drug Discovery,Artificial Intelligence,false,false,false,Summer 2025,Active,Healthcare,Drug Discovery and Delivery,United States of America,America / Canada,Early,false,false,,true,30747,Convexia,none,https://convexia.bio,none,"San Francisco, CA, USA",none,"An AI-maximalist pharma platform. We use agents to buy drugs, run clinical trials, and sell for a profit. 10x faster and 20x leaner than incumbents.

Sourcing Agent: Mines public/private databases and unstructured global data to surface overlooked preclinical candidates.
Scientific Agent: Runs comp bio models (ESM-3, RFdiffusion, Boltz-2, AlphaFold) to assess safety and efficacy in silico.
Commercial Agent: Analyzes FDA incentives, pricing dynamics, TAM, competitive landscape, and payer alignment.
Clinical Agent: Runs digital twin simulations, evaluates CRO/CMC risk, and builds trial plans to Phase 1.
BD Agent: Summarizes and delivers company-tailored pitches. 

Built by 2 Stanford CS students who have built 3 startups together before. ",none,The world's first AI-maximalist pharma company,none,AI-powered Drug Discovery,none,Artificial Intelligence,none,,,,Biotech,,,,Biotech,none,,,,,,,,,,,,
